fulcrum_id,q1_site,q2_district,survey_site,deidentified_village,q6_communities,q7_protected_area,q8_travel_time_muncipal_admin,q9_public_trans_freq,q10_time_dist_headquarter,q11_walk_time_all_weather_road,q12_travel_time_higher_secondary,q13_subcenter_walk_time,q14_phc_travel_time,q15_taluk_hosp,q16_priv_clinic,q17_priv_hospital,q18_regular_electric,q19_solar_supply,q20_avg_pow_sup,q21_drinking_water_yard,q22_no_public_tanks,hand_pump,spring_water,q24_surface,q25_water_collect_time,q26_ro_plant,q27_non_tribal,q28_tribal_population,latitude,longitude
f1b5939f-51d3-4c78-93e5-de5963710bfb,Kerala,wayanad,Wayanad,Wayanadb860,tribal,Outside,10,5,140,5,10,10,10,35,10,35,100,0,24,100,0,,0,0,20,0,0.0,111,11.86478049,76.05105434
f896b54b-3001-4bb3-a2c0-4eff62040c43,Kerala,wayanad,Wayanad,WayanadH178,tribal,Outside,40,0,160,10,30,30,10,70,40,70,100,0,24,100,0,,0,0,2,0,0.0,53,11.91377715,76.03685003
c9ef83f4-8694-4f15-bd59-9cb206190870,Kerala,wayanad,Wayanad,Wayanad@695,tribal,Outside,5,10,120,2,5,5,5,30,5,30,100,0,24,0,0,,100,0,2,0,0.0,20,11.84835301,76.06149785
6d6f7ebe-f48f-4331-b4f6-ed3786995ed8,Kerala,wayanad,Wayanad,Wayanad@707,tribal,Outside,45,0,165,15,15,15,30,75,45,75,100,0,24,100,0,,100,0,2,0,0.0,22,11.90151224,75.99952407
f233b907-6274-4b6d-ba55-21a14aaaeab8,Kerala,wayanad,Wayanad,WayanadZ707,tribal,Outside,15,5,135,20,20,10,15,45,15,45,100,0,24,0,0,,1,0,5,0,0.0,33,11.84928096,76.04709104
816804b0-1c47-4e86-9baf-c60adbb15fac,Kerala,wayanad,Wayanad,Wayanad`173,mix,Outside,60,0,150,10,60,20,30,90,60,90,100,0,24,100,0,,80,0,10,0,0.0,15,11.9316437,76.05247356
c6b7908f-7731-4309-8baa-fa8128139662,Kerala,wayanad,Wayanad,WayanadO918,tribal,Outside,30,5,150,2,20,30,10,45,25,45,100,1,24,0,0,,100,0,5,0,0.0,40,11.91207192,76.03720006
1565c6ed-ef02-4fe1-8ad8-e3a9258904f8,Kerala,wayanad,Wayanad,WayanadO283,mix,Outside,40,0,160,10,40,40,40,70,40,70,90,0,24,0,0,,100,0,10,0,,25,11.82659529,76.08144511
c9486328-c4ed-40d4-8ea4-31d55066b4ac,Kerala,wayanad,Wayanad,WayanadV669,mix,Outside,45,0,165,15,45,45,20,75,45,75,80,0,24,0,0,,100,0,10,0,27.0,20,11.92312555,76.0327087
a97832f0-57a3-45b2-a862-dca5a54969c0,Kerala,wayanad,Wayanad,WayanadS242,tribal,Inside,45,0,165,45,45,45,45,75,45,75,100,0,24,0,0,,100,0,5,0,0.0,12,11.8415819,76.08742677
70fb7296-917d-40f8-8b73-7102210a8c36,Kerala,wayanad,Wayanad,WayanadW241,tribal,Inside,35,0,155,35,35,65,35,65,35,65,100,0,24,0,0,,100,0,5,0,0.0,84,11.8383451,76.0867143
9f8bb6d0-bc14-41fb-9dbe-737ff113559e,Kerala,wayanad,Wayanad,WayanadX680,mix,Outside,15,0,135,5,15,15,15,45,15,45,100,0,24,0,0,,100,0,5,0,13.0,92,11.8519001,76.05042502
9ab57056-75b5-4184-bece-12bd7d10baf0,Kerala,wayanad,Wayanad,WayanadJ691,tribal,Inside,30,0,150,15,30,15,30,60,30,60,100,0,24,0,0,,100,0,2,0,0.0,24,11.89119002,76.04758289
d37acb67-84e3-4572-b251-b30a04776a0f,Kerala,wayanad,Wayanad,WayanadE834,tribal,Outside,30,0,150,5,5,30,20,60,30,60,100,0,24,100,0,,0,0,5,0,0.0,176,11.90944352,75.99491671
7e146c7f-ed60-42fd-bd3e-c9559ebeb146,Kerala,wayanad,Wayanad,Wayanad^189,mix,Outside,40,10,135,2,40,15,20,90,40,60,100,0,24,100,0,,100,0,20,0,14.0,29,11.94090652,76.05404064
7db8e195-ef63-46f2-8de8-c4a980084f19,Kerala,wayanad,Wayanad,WayanadL508,tribal,Outside,30,2,150,2,30,5,5,60,30,60,100,0,24,100,0,,100,0,30,0,0.0,10,11.9053936,76.03293534
0c6b3b9d-769e-4f5c-a792-bce8947e6fc0,Kerala,wayanad,Wayanad,WayanadR161,tribal,Outside,30,1,150,10,5,45,25,60,30,60,100,0,24,20,1,,80,100,2,0,0.0,189,11.90901934,75.99197298
fe2c0d6e-fa98-4959-a3c7-61672516c3b1,Kerala,wayanad,Wayanad,Wayanadc785,tribal,Inside,15,0,135,3,15,15,15,45,15,45,100,20,24,0,0,,100,0,5,0,0.0,176,11.86520309,76.074582
1df39eb7-fa2c-486e-ab85-f7f055a3bec9,Kerala,wayanad,Wayanad,WayanadV740,tribal,Inside,30,5,150,2,30,10,30,60,30,60,100,0,24,100,1,,100,0,5,0,0.0,160,11.90325822,76.04930487
763e33d9-be1c-4704-86b3-82e70a9b9e68,Kerala,wayanad,Wayanad,Wayanad\985,tribal,Outside,15,2,120,2,15,10,20,30,20,30,100,0,24,0,0,,100,0,5,0,0.0,22,11.835703,76.0398185
9eed7444-6d1e-43ec-9a7f-003bea00f55b,Kerala,wayanad,Wayanad,WayanadB170,tribal,Outside,30,8,140,5,45,30,10,60,30,60,20,0,24,2,0,,0,0,2,0,0.0,9,11.90978601,76.03518102
52814d98-998c-4675-b37d-ac705d443cc5,Kerala,wayanad,Wayanad,WayanadQ116,tribal,Outside,40,0,130,15,30,30,40,45,40,45,100,0,24,100,0,,0,0,5,0,0.0,154,11.84765474,76.01830624
db2da51c-8094-4fdc-9823-fd9895498e68,Kerala,wayanad,Wayanad,Wayanad_545,tribal,Inside,45,0,165,45,45,45,45,75,45,75,100,0,24,0,0,,100,0,5,0,0.0,46,11.8351775,76.08477406
86600421-056d-49fa-a5cd-ab1240cdca55,Kerala,wayanad,Wayanad,WayanadX392,tribal,Outside,35,0,155,15,35,15,35,65,35,65,100,0,24,0,0,,100,0,30,0,0.0,168,11.88184676,76.04155865
330fae5f-d457-469b-a493-23630ab4d4e3,Kerala,wayanad,Wayanad,Wayanad@680,mix,Outside,30,0,120,15,15,10,30,45,30,45,90,20,24,100,1,,100,0,2,0,,63,11.85142759,76.01813156
7a3296c7-44d8-43a4-8cda-4c8910435b1d,Kerala,wayanad,Wayanad,Wayanadc557,tribal,Outside,5,10,125,5,5,5,5,35,5,35,100,0,24,99,0,,100,0,5,0,0.0,113,11.85789987,76.06328957
4c905e9a-02ce-48eb-8080-1ac096738aff,Kerala,wayanad,Wayanad,Wayanad_473,mix,Outside,30,0,120,10,10,10,30,30,30,30,100,0,24,100,0,,100,0,10,0,5.0,19,11.84065096,76.03490107
ebfee206-d8fd-46ce-ad09-1d7f3dc5b1ee,Kerala,wayanad,Wayanad,WayanadY208,mix,Outside,15,0,135,10,20,30,15,45,15,45,100,0,24,40,0,,60,0,10,0,10.0,98,11.84900435,76.04806066
afd3ba4a-a056-4bee-aa14-d36a2c0c755e,Kerala,wayanad,Wayanad,Wayanada133,tribal,Outside,55,0,175,15,25,20,40,85,55,85,100,0,24,0,0,,100,0,10,0,0.0,82,11.89738871,76.00057114
022eb5d5-6079-498c-b2d0-d12460a501eb,Kerala,wayanad,Wayanad,WayanadF311,tribal,Outside,10,4,120,2,10,10,10,30,10,30,100,0,24,0,0,,100,0,5,0,0.0,20,11.83222578,76.05976179
0d740418-8bac-428d-8bff-53157468f2d8,Kerala,wayanad,Wayanad,Wayanad_910,mix,Outside,20,0,140,10,20,10,20,50,20,50,100,0,24,50,0,,50,0,5,0,4.0,28,11.832339,76.06870495
b702fcb3-5cc6-4195-9f51-b7524329f150,Kerala,wayanad,Wayanad,Wayanad^968,tribal,Inside,30,0,150,15,30,30,30,60,30,60,100,0,24,0,0,,100,0,5,0,0.0,35,11.83304682,76.0828888
